iter	Passed	Remaining
651	5426	2896
652	5435	2888
653	5443	2880
654	5452	2872
655	5460	2863
656	5469	2855
657	5478	2847
658	5487	2839
659	5497	2831
660	5506	2824
661	5516	2816
662	5525	2808
663	5534	2800
664	5542	2792
665	5551	2783
666	5559	2775
667	5566	2766
668	5574	2758
669	5582	2749
670	5590	2740
671	5598	2732
672	5606	2724
673	5616	2716
674	5624	2708
675	5634	2700
676	5643	2692
677	5651	2684
678	5660	2676
679	5668	2667
680	5676	2659
681	5684	2650
682	5693	2642
683	5701	2634
684	5710	2625
685	5718	2617
686	5726	2609
687	5735	2600
688	5743	2592
689	5751	2584
690	5760	2575
691	5768	2567
692	5776	2558
693	5784	2550
694	5792	2542
695	5800	2533
696	5809	2525
697	5817	2517
698	5825	2508
699	5833	2500
700	5842	2491
701	5850	2483
702	5858	2475
703	5867	2466
704	5875	2458
705	5883	2450
706	5891	2441
707	5899	2433
708	5908	2425
709	5917	2416
710	5926	2408
711	5934	2400
712	5943	2392
713	5952	2384
714	5959	2375
715	5968	2367
716	5978	2359
717	5985	2350
718	5994	2342
719	6002	2334
720	6010	2325
721	6018	2317
722	6027	2309
723	6035	2300
724	6044	2292
725	6052	2284
726	6061	2276
727	6069	2267
728	6078	2259
729	6087	2251
730	6095	2242
731	6104	2234
732	6112	2226
733	6120	2217
734	6128	2209
735	6135	2200
736	6143	2192
737	6151	2184
738	6159	2175
739	6167	2166
740	6175	2158
741	6182	2149
742	6190	2141
743	6199	2133
744	6207	2124
745	6214	2115
746	6223	2107
747	6231	2099
748	6240	2091
749	6247	2082
750	6256	2074
751	6265	2066
752	6273	2057
753	6282	2049
754	6290	2041
755	6298	2032
756	6305	2024
757	6314	2015
758	6322	2007
759	6330	1999
760	6338	1990
761	6346	1982
762	6354	1973
763	6362	1965
764	6370	1956
765	6377	1948
766	6385	1939
767	6393	1931
768	6401	1922
769	6409	1914
770	6416	1905
771	6424	1897
772	6432	1889
773	6441	1880
774	6450	1872
775	6458	1864
776	6467	1856
777	6475	1847
778	6483	1839
779	6491	1831
780	6499	1822
781	6508	1814
782	6515	1805
783	6523	1797
784	6532	1789
785	6542	1781
786	6550	1772
787	6559	1764
788	6567	1756
789	6576	1748
790	6585	1740
791	6594	1731
792	6602	1723
793	6611	1715
794	6619	1706
795	6627	1698
796	6636	1690
797	6645	1682
798	6653	1673
799	6663	1665
800	6670	1657
801	6679	1648
802	6687	1640
803	6696	1632
804	6705	1624
805	6714	1616
806	6722	1607
807	6731	1599
808	6739	1591
809	6748	1582
810	6756	1574
811	6764	1566
812	6772	1557
813	6779	1549
814	6788	1541
815	6795	1532
816	6803	1523
817	6811	1515
818	6819	1507
819	6827	1498
820	6834	1490
821	6842	1481
822	6850	1473
823	6858	1465
824	6867	1456
825	6875	1448
826	6883	1440
827	6891	1431
828	6898	1423
829	6906	1414
830	6914	1406
831	6922	1397
832	6929	1389
833	6937	1380
834	6944	1372
835	6951	1363
836	6959	1355
837	6968	1347
838	6977	1338
839	6986	1330
840	6994	1322
841	7003	1314
842	7010	1305
843	7018	1297
844	7025	1288
845	7032	1280
846	7040	1271
847	7049	1263
848	7058	1255
849	7066	1246
850	7075	1238
851	7083	1230
852	7091	1222
853	7100	1213
854	7109	1205
855	7117	1197
856	7125	1189
857	7134	1180
858	7142	1172
859	7149	1163
860	7157	1155
861	7165	1147
862	7173	1138
863	7181	1130
864	7188	1121
865	7196	1113
866	7203	1105
867	7211	1096
868	7219	1088
869	7227	1079
870	7235	1071
871	7242	1063
872	7250	1054
873	7258	1046
874	7266	1038
875	7273	1029
876	7283	1021
877	7290	1013
878	7299	1004
879	7307	996
880	7316	988
881	7325	980
882	7333	971
883	7340	963
884	7347	954
885	7354	946
886	7361	937
887	7369	929
888	7376	921
889	7384	912
890	7392	904
891	7400	896
892	7408	887
893	7416	879
894	7424	871
895	7431	862
896	7439	854
897	7446	845
898	7454	837
899	7461	829
900	7469	820
901	7476	812
902	7485	804
903	7493	795
904	7501	787
905	7508	779
906	7515	770
907	7523	762
908	7530	753
909	7538	745
910	7546	737
911	7554	728
912	7562	720
